Competition Schedule for 2021: The Event Line-up for Each Session of the Olympic Games Tokyo 2020;;;;;;
SPORT(DISCIPLINE);VENUE;DATE;START TIME;END TIME;EVENT;
Athletics;Olympic Stadium;2021-08-07;18:50;22:20;"Men's 50km Race Walk Victory Ceremony / Women's 20km Race Walk Victory Ceremony / Women's 4 x 100m Relay Victory Ceremony / Men's 4 x 100m Relay Victory Ceremony / Women's High Jump Final /
Women's 10,000m Final / Men's Javelin Throw Final /
Women's Javelin Throw Victory Ceremony / Men's 1500m Final /
Women's 10,000m Victory Ceremony / Men's 1500m Victory Ceremony / Women's 4 x 400m Relay Final /
Men's Javelin Throw Victory Ceremony / Men's 4 x 400m Relay Final /
Women's High Jump Victory Ceremony /
Women's 4 x 400m Relay Victory Ceremony / Men's 4 x 400m Relay Victory Ceremony";
Athletics;Sapporo Odori Park;2021-08-08;07:00;09:45;"Men's Marathon Final /
Men's Marathon Venue Ceremony /
*Session tickets not for sale
*The victory ceremony of Men's Marathon will take place at the Olympic Stadium during the closing ceremony.";
Badminton;Musashino Forest Sport Plaza;2021-07-24;09:00;14:30;"Men's Singles Group Play Stage / Women's Singles Group Play Stage / Men's Doubles Group Play Stage / Women's Doubles Group Play Stage /
Mixed Doubles Group Play Stage";
Badminton;Musashino Forest Sport Plaza;2021-07-24;18:00;22:00;"Men's Singles Group Play Stage / Women's Singles Group Play Stage / Men's Doubles Group Play Stage / Women's Doubles Group Play Stage /
Mixed Doubles Group Play Stage";
Badminton;Musashino Forest Sport Plaza;2021-07-25;10:00;15:30;"Men's Singles Group Play Stage / Women's Singles Group Play Stage / Men's Doubles Group Play Stage / Women's Doubles Group Play Stage /
Mixed Doubles Group Play Stage";
Badminton;Musashino Forest Sport Plaza;2021-07-25;18:00;21:30;"Men's Singles Group Play Stage / Women's Singles Group Play Stage / Men's Doubles Group Play Stage / Women's Doubles Group Play Stage /
Mixed Doubles Group Play Stage";
Badminton;Musashino Forest Sport Plaza;2021-07-26;10:00;15:30;"Men's Singles Group Play Stage / Women's Singles Group Play Stage / Men's Doubles Group Play Stage / Women's Doubles Group Play Stage /
Mixed Doubles Group Play Stage";
Badminton;Musashino Forest Sport Plaza;2021-07-26;18:00;21:30;"Men's Singles Group Play Stage / Women's Singles Group Play Stage / Men's Doubles Group Play Stage / Women's Doubles Group Play Stage /
Mixed Doubles Group Play Stage";
Badminton;Musashino Forest Sport Plaza;2021-07-27;10:00;15:30;"Men's Singles Group Play Stage / Women's Singles Group Play Stage / Men's Doubles Group Play Stage /
Women's Doubles Group Play Stage";
Badminton;Musashino Forest Sport Plaza;2021-07-27;18:00;21:30;"Men's Singles Group Play Stage / Women's Singles Group Play Stage / Men's Doubles Group Play Stage /
Women's Doubles Group Play Stage";
Badminton;Musashino Forest Sport Plaza;2021-07-28;09:00;14:30;"Women's Singles Group Play Stage /
Mixed Doubles Quarterfinals";
Badminton;Musashino Forest Sport Plaza;2021-07-28;18:00;21:30;Men's Singles Group Play Stage;
